Portfolio,Mu,Sigma,Sharpe,Treynor,Sortino,Omega,Mu_anual,Sigma_anual,Beta,VaR,CVaR,MaxDrawdown,Profit_%,YearMonth,Year,Asset_Class,Method
VaR_CVaR,2.402,5.564,0.432,0.017,0.884,3.202,28.82,19.275,1.426,0.046,0.073,7.302,30.821,2021-12,2021,Salud,VaR_CVaR
VaR_CVaR,2.444,5.886,0.415,0.056,0.926,3.217,29.325,20.389,0.436,0.053,0.058,8.272,31.237,2022-12,2022,Salud,VaR_CVaR
VaR_CVaR,0.171,4.245,0.04,-0.012,0.084,1.098,2.05,14.706,-0.143,0.051,0.052,5.06,1.066,2023-12,2023,Salud,VaR_CVaR
VaR_CVaR,-0.254,4.365,-0.058,-0.004,-0.093,0.863,-3.053,15.119,0.721,0.069,0.076,15.681,-4.029,2024-12,2024,Salud,VaR_CVaR
VaR_CVaR,2.131,8.355,0.255,0.017,0.654,1.952,25.567,28.943,1.242,0.081,0.087,11.38,24.23,2019-12,2019,Financieros,VaR_CVaR
VaR_CVaR,1.454,11.299,0.129,0.01,0.218,1.366,17.452,39.142,1.386,0.159,0.183,25.337,10.825,2020-12,2020,Financieros,VaR_CVaR
VaR_CVaR,0.256,7.875,0.033,0.002,0.065,1.082,3.073,27.279,1.081,0.099,0.116,21.249,-0.315,2021-12,2021,Financieros,VaR_CVaR
VaR_CVaR,0.369,8.382,0.044,0.004,0.044,1.133,4.432,29.037,0.887,0.141,0.195,26.662,0.315,2022-12,2022,Financieros,VaR_CVaR
VaR_CVaR,1.509,5.503,0.274,0.014,1.064,1.975,18.106,19.062,1.055,0.058,0.063,9.624,17.773,2023-12,2023,Financieros,VaR_CVaR
VaR_CVaR,2.504,4.154,0.603,0.027,1.61,4.056,30.05,14.389,0.92,0.032,0.047,4.705,33.339,2024-12,2024,Financieros,VaR_CVaR
VaR_CVaR,3.019,3.283,0.92,0.068,1.989,13.027,36.228,11.373,0.444,0.014,0.026,2.58,42.097,2019-12,2019,Consumo,VaR_CVaR
VaR_CVaR,1.248,5.161,0.242,0.02,0.401,1.895,14.979,17.878,0.637,0.066,0.07,12.813,14.399,2020-12,2020,Consumo,VaR_CVaR
VaR_CVaR,0.26,4.645,0.056,0.002,0.088,1.145,3.115,16.09,1.082,0.066,0.075,7.524,1.933,2021-12,2021,Consumo,VaR_CVaR
VaR_CVaR,0.25,6.383,0.039,0.003,0.21,1.107,2.999,22.11,0.752,0.055,0.061,8.772,0.869,2022-12,2022,Consumo,VaR_CVaR
VaR_CVaR,0.063,3.391,0.019,0.002,0.084,1.043,0.755,11.747,0.367,0.04,0.043,9.422,0.122,2023-12,2023,Consumo,VaR_CVaR
VaR_CVaR,2.504,3.779,0.663,0.026,0.99,5.942,30.053,13.09,0.966,0.026,0.049,4.946,33.55,2024-12,2024,Consumo,VaR_CVaR
VaR_CVaR,0.694,5.821,0.119,0.006,0.227,1.328,8.328,20.163,1.103,0.08,0.096,18.425,6.648,2019-12,2019,Energia,VaR_CVaR
VaR_CVaR,-1.491,14.428,-0.103,-0.009,-0.188,0.741,-17.893,49.979,1.714,0.179,0.239,33.316,-25.411,2020-12,2020,Energia,VaR_CVaR
VaR_CVaR,2.824,6.674,0.423,-0.077,2.955,2.851,33.885,23.121,-0.367,0.091,0.098,9.83,36.381,2021-12,2021,Energia,VaR_CVaR
VaR_CVaR,3.96,12.072,0.328,0.03,0.532,2.273,47.517,41.819,1.332,0.138,0.195,20.713,47.53,2022-12,2022,Energia,VaR_CVaR
VaR_CVaR,-0.319,6.781,-0.047,-0.013,-0.061,0.886,-3.832,23.491,0.253,0.116,0.137,14.191,-6.262,2023-12,2023,Energia,VaR_CVaR
VaR_CVaR,-0.996,5.538,-0.18,-0.016,-0.311,0.652,-11.949,19.184,0.624,0.08,0.092,24.901,-12.832,2024-12,2024,Energia,VaR_CVaR
VaR_CVaR,1.564,9.164,0.171,0.01,0.643,1.549,18.763,31.747,1.579,0.09,0.095,16.843,15.322,2019-12,2019,Industriales,VaR_CVaR
VaR_CVaR,2.159,9.696,0.223,0.019,0.302,2.008,25.903,33.588,1.108,0.112,0.171,22.345,22.973,2020-12,2020,Industriales,VaR_CVaR
VaR_CVaR,1.676,7.36,0.228,0.012,0.516,1.769,20.117,25.494,1.442,0.081,0.09,17.536,18.633,2021-12,2021,Industriales,VaR_CVaR
VaR_CVaR,0.642,11.833,0.054,0.004,0.091,1.162,7.703,40.991,1.495,0.179,0.181,30.582,-0.074,2022-12,2022,Industriales,VaR_CVaR
VaR_CVaR,0.621,6.788,0.091,0.006,0.222,1.262,7.45,23.513,1.025,0.07,0.081,13.108,5.099,2023-12,2023,Industriales,VaR_CVaR
VaR_CVaR,2.552,4.494,0.568,0.026,0.983,4.181,30.629,15.568,0.988,0.046,0.052,5.173,33.886,2024-12,2024,Industriales,VaR_CVaR
VaR_CVaR,0.297,0.345,0.86,-0.168,8.357,14.048,3.566,1.197,-0.018,0.001,0.001,0.115,3.618,2019-12,2019,Bonos,VaR_CVaR
VaR_CVaR,0.326,0.956,0.341,0.032,0.352,2.655,3.913,3.311,0.103,0.01,0.02,1.975,3.932,2020-12,2020,Bonos,VaR_CVaR
VaR_CVaR,-0.05,0.143,-0.347,0.039,-0.467,0.41,-0.597,0.497,-0.013,0.003,0.003,0.76,-0.596,2021-12,2021,Bonos,VaR_CVaR
VaR_CVaR,-0.415,0.848,-0.49,-0.047,-0.884,0.32,-4.986,2.937,0.088,0.015,0.017,4.873,-4.911,2022-12,2022,Bonos,VaR_CVaR
VaR_CVaR,0.346,0.802,0.432,0.031,0.914,3.014,4.157,2.778,0.11,0.007,0.011,1.062,4.2,2023-12,2023,Bonos,VaR_CVaR
VaR_CVaR,0.319,0.639,0.499,0.048,1.171,3.087,3.824,2.213,0.066,0.006,0.007,0.815,3.869,2024-12,2024,Bonos,VaR_CVaR
VaR_CVaR,1.265,21.044,0.06,-0.005,0.196,1.154,15.181,72.9,-2.427,0.216,0.229,56.223,-7.306,2019-12,2019,Criptomonedas,VaR_CVaR
VaR_CVaR,16.84,26.078,0.646,0.062,1.414,5.163,202.081,90.337,2.72,0.19,0.287,34.619,381.332,2020-12,2020,Criptomonedas,VaR_CVaR
